agency_id,agency_code,name,abbreviation,agency_type,official_url,jurisdiction,description,active
"e21a31f2-53f4-5c77-8a73-8dfab6e062e0","KNBS","Kenya National Bureau of Statistics","KNBS","national_statistics_office","https://www.knbs.or.ke/","Kenya","Official national statistics agency.","true"
"69ed8fa7-b815-5ad2-b146-229ebbbc4e01","CBK","Central Bank of Kenya","CBK","central_bank","https://www.centralbank.go.ke/","Kenya","Official monetary and financial authority.","true"
"94943f71-e5e7-52b2-aea1-b459044d36e6","IEBC","Independent Electoral and Boundaries Commission","IEBC","constitutional_commission","https://www.iebc.or.ke/","Kenya","Electoral management and electoral-boundary authority.","true"
"d9b65748-a090-561a-b248-5b01b633acb4","COB","Controller of Budget","CoB","constitutional_office","https://cob.go.ke/","Kenya","Oversees implementation of national and county budgets.","true"
"b9521a79-b67a-5f25-af05-311c52a24f85","KAMIS","Kenya Agricultural Market Information System","KAMIS","government_information_system","https://kamis.kilimo.go.ke/","Kenya","Agricultural market price and supply information system.","true"
"18794c10-a5fa-5a91-aab2-fa67cb16e5c1","CA","Communications Authority of Kenya","CA","regulator","https://www.ca.go.ke/","Kenya","Communications-sector regulator and statistics publisher.","true"
"717dc367-8e4a-5b1c-93a3-a0e1e92fc6da","EPRA","Energy and Petroleum Regulatory Authority","EPRA","regulator","https://www.epra.go.ke/","Kenya","Energy and petroleum regulator.","true"
"fc5a62a5-a70b-5c23-8b2a-4fe3a16c30e9","TREASURY","The National Treasury and Economic Planning","National Treasury","government_ministry","https://www.treasury.go.ke/","Kenya","National fiscal, budget and economic-policy authority.","true"
"b404bc34-5af5-52d4-b91b-38b215d07888","MOH","Ministry of Health","MoH","government_ministry","https://www.health.go.ke/","Kenya","National health-policy and health-information authority.","true"
"9c58b8d7-da00-5780-8f14-dc89e16f8187","MOE","Ministry of Education","MoE","government_ministry","https://www.education.go.ke/","Kenya","National education-policy and information authority.","true"
"e01b075d-0e71-5a3c-8464-56cd2ee7a8fd","KENYA-LAW","National Council for Law Reporting — Kenya Law","Kenya Law","state_corporation","https://new.kenyalaw.org/","Kenya","Official public legal-information service.","true"
"b4c3f27d-6db6-5d28-9d4d-0d4bfcb0f277","KDA-COMMUNITY","External open-data maintainers","Community sources","external_community","https://github.com/","External","Community-maintained extracts used only with explicit provenance and quality status.","true"
"9b148b36-80bd-5bef-89ed-4d9fd37ba1c2","KDA","Kenya Data Atlas","KDA","atlas_derivation","https://github.com/dansamuka/kenya-data-atlas","Kenya","The Atlas itself, as publisher of transparent derivations computed from other agencies' underlying data (e.g. land area computed from boundary geometry). Used only where the statistical-publication-policy's basis 5 (""a transparent Atlas derivation or model"") applies, with methodology published and reviewable.","true"
"33ae4410-49f5-5b72-9f1d-e7a7438e9317","WB","World Bank Group","World Bank","international_organization","https://www.worldbank.org/","International","International development institution and publisher of World Development Indicators. In the Atlas, WDI is treated as a secondary harmonising compiler, never as a Kenyan primary statistical agency.","true"
"07e5cf92-a96f-5a30-b119-500a39b54701","OAG","Office of the Auditor-General","OAG","constitutional_office","https://www.oagkenya.go.ke/","Kenya","Kenya’s supreme public-sector audit institution and publisher of county-government audit opinions.","true"
"0c63c407-e77e-5279-8253-2ef6358929ee","PARLIAMENT-KE","Parliament of Kenya","Parliament","legislature","https://www.parliament.go.ke/","Kenya","Official Parliament of Kenya publisher for National Assembly membership and proceedings.","true"
