slot_key,surface,geo_code,geography_name,level,tab,indicator_code,indicator_name,lifecycle_status,status,resolved,completion_phase,reason,series_code,observation_id,period_label,value,badge,geographic_method,source,source_url
"KEN-C001-CON001-W0001|profile|infrastructure|IND-HEALTH-FACILITY-DENSITY","profile","KEN-C001-CON001-W0001","Port Reitz","ward","infrastructure","IND-HEALTH-FACILITY-DENSITY","Health facilities assessed per 10,000 residents","active","active_missing","false","P24","Indicator is active but no canonical observation is attached to this geography.","","","","","","","MoH Kenya Health Facility Census 2023 + KNBS Gross County Product 2024 projected 2023 population","https://www.health.go.ke/sites/default/files/2024-01/Kenya%20Health%20Facility%20Census%20Report%20September%202023.pdf"
"KEN-C001-CON001-W0001|profile|overview|IND-LAND-AREA","profile","KEN-C001-CON001-W0001","Port Reitz","ward","overview","IND-LAND-AREA","Land area","active","published_derived","true","complete","Canonical series has a latest observation for this geography and indicator.","KDA-AREA-KEN-C001-CON001-W0001","8a20ecdb-53b4-559a-a8f2-62724ea9ae68","Boundary-derived 2012-01","1.6","B","aggregated","KDA","https://github.com/dansamuka/kenya-data-atlas/blob/main/docs/methodology/indicators.md"
"KEN-C001-CON001-W0001|profile|overview|IND-POPULATION","profile","KEN-C001-CON001-W0001","Port Reitz","ward","overview","IND-POPULATION","Population","active","active_missing","false","P24","Indicator is active but no canonical observation is attached to this geography.","","","","","","","","https://www.knbs.or.ke/2019-kenya-population-and-housing-census-results/"
"KEN-C001-CON001-W0001|profile|overview|IND-REGISTERED-VOTERS","profile","KEN-C001-CON001-W0001","Port Reitz","ward","overview","IND-REGISTERED-VOTERS","Registered voters","active","active_missing","false","P24","Indicator is active but no canonical observation is attached to this geography.","","","","","","","","https://www.iebc.or.ke/"
"KEN-C001-CON001-W0001|profile|people|IND-POPULATION","profile","KEN-C001-CON001-W0001","Port Reitz","ward","people","IND-POPULATION","Population","active","active_missing","false","P24","Indicator is active but no canonical observation is attached to this geography.","","","","","","","","https://www.knbs.or.ke/2019-kenya-population-and-housing-census-results/"
"KEN-C001-CON001-W0001|profile|people|IND-REGISTERED-VOTERS","profile","KEN-C001-CON001-W0001","Port Reitz","ward","people","IND-REGISTERED-VOTERS","Registered voters","active","active_missing","false","P24","Indicator is active but no canonical observation is attached to this geography.","","","","","","","","https://www.iebc.or.ke/"
"KEN-C001-CON001-W0001|profile|representation|IND-MCA-IDENTITY","profile","KEN-C001-CON001-W0001","Port Reitz","ward","representation","IND-MCA-IDENTITY","Member of County Assembly (name, party)","planned","planned_unresolved","false","P24","No single confirmed machine-readable source; remain planned.","","","","","","","County assemblies / IEBC",""
"KEN-C001-CON001-W0001|profile|representation|IND-REGISTERED-VOTERS","profile","KEN-C001-CON001-W0001","Port Reitz","ward","representation","IND-REGISTERED-VOTERS","Registered voters","active","active_missing","false","P24","Indicator is active but no canonical observation is attached to this geography.","","","","","","","","https://www.iebc.or.ke/"
"KEN-C001-CON001-W0001|profile|representation|IND-TURNOUT-HISTORY","profile","KEN-C001-CON001-W0001","Port Reitz","ward","representation","IND-TURNOUT-HISTORY","Turnout, prior general elections","planned","planned_unresolved","false","P24","Natural extension of the Sprint 2 electoral architecture; not yet ingested.","","","","","","","IEBC",""
"KEN-C001-CON001-W0001|profile|representation|IND-WARD-FUND-ALLOCATION","profile","KEN-C001-CON001-W0001","Port Reitz","ward","representation","IND-WARD-FUND-ALLOCATION","Ward-level development fund allocation","planned","planned_unresolved","false","P24","Never divide county budgets mechanically by ward count.","","","","","","","County-specific publications",""
