geo_code,county,development_score,development_band,development_diagnostic_rank,fiscal_delivery_score,fiscal_delivery_rank,overall_absorption_change_pp,development_absorption_change_pp,evidence_count
"KEN-C001","Mombasa","47.19","Bottom 20%","39","48.42","32","5.01","-16.4","5"
"KEN-C002","Kwale","56.67","Middle 20%","25","47.96","33","-8.66","-11.1","5"
"KEN-C003","Kilifi","52.28","Lower-middle 20%","31","31.31","41","6.35","23.6","5"
"KEN-C004","Tana River","57.71","Middle 20%","22","59.64","26","-18.04","-8.8","5"
"KEN-C005","Lamu","58.69","Middle 20%","20","75.65","13","2.2","-2.2","5"
"KEN-C006","Taita Taveta","73.18","Top 20%","4","41.72","37","6.73","30","5"
"KEN-C007","Garissa","49.56","Lower-middle 20%","36","75.02","14","7","-29.5","5"
"KEN-C008","Wajir","58.52","Middle 20%","21","73.88","15","4.67","14.6","5"
"KEN-C009","Mandera","54.73","Middle 20%","28","84.66","8","-0.35","-2","5"
"KEN-C010","Marsabit","51.61","Lower-middle 20%","32","64.88","22","0.83","0.2","5"
"KEN-C011","Isiolo","45.14","Bottom 20%","41","30.1","42","-14.87","-1.3","5"
"KEN-C012","Meru","75.28","Top 20%","3","89.94","3","9.26","10.7","5"
"KEN-C013","Tharaka-Nithi","59.4","Upper-middle 20%","17","73.88","15","5.24","-6.9","5"
"KEN-C014","Embu","62.95","Upper-middle 20%","15","42.71","36","-3.02","6.8","5"
"KEN-C015","Kitui","67.23","Upper-middle 20%","10","87.18","5","4.32","3.1","5"
"KEN-C016","Machakos","55.62","Middle 20%","26","8.94","46","-0.39","8.4","5"
"KEN-C017","Makueni","77.34","Top 20%","2","82.91","11","13.78","11","6"
"KEN-C018","Nyandarua","59.87","Upper-middle 20%","16","57.31","29","6.78","22.2","5"
"KEN-C019","Nyeri","72.01","Top 20%","5","86.57","6","5.39","14.8","8"
"KEN-C020","Kirinyaga","77.98","Top 20%","1","88.57","4","6.7","16.9","5"
"KEN-C021","Murang'a","70.2","Top 20%","7","67.71","21","9.46","29.3","5"
"KEN-C022","Kiambu","48.57","Bottom 20%","38","19.14","44","-3.16","-22.3","5"
"KEN-C023","Turkana","52.29","Lower-middle 20%","30","83.78","9","12.48","25.5","5"
"KEN-C024","West Pokot","48.65","Lower-middle 20%","37","95.07","2","3.73","4.7","5"
"KEN-C025","Samburu","65.41","Upper-middle 20%","12","97.07","1","7.75","2.9","5"
"KEN-C026","Trans Nzoia","55.56","Middle 20%","27","73.18","18","5.22","13","5"
"KEN-C027","Uasin Gishu","45.18","Bottom 20%","40","63.71","25","-4.14","-4.9","5"
"KEN-C028","Elgeyo/Marakwet","49.77","Lower-middle 20%","34","72.49","19","-4.27","-16.9","7"
"KEN-C029","Nandi","66.12","Upper-middle 20%","11","86.44","7","13.16","28.6","5"
"KEN-C030","Baringo","62.98","Upper-middle 20%","14","64.67","23","7.34","9.1","5"
"KEN-C031","Laikipia","58.83","Middle 20%","19","49.96","31","3.96","-1.6","5"
"KEN-C032","Nakuru","49.76","Lower-middle 20%","35","44.16","34","0.9","-9.6","5"
"KEN-C033","Narok","67.85","Top 20%","9","","","10.52","40.6","5"
"KEN-C034","Kajiado","38.57","Bottom 20%","45","27.7","43","5.4","-13.3","9"
"KEN-C035","Kericho","53.76","Lower-middle 20%","29","68.25","20","0.1","13.3","5"
"KEN-C036","Bomet","64","Upper-middle 20%","13","57.56","27","1.82","2.9","5"
"KEN-C037","Kakamega","51.34","Lower-middle 20%","33","52.14","30","-3.45","-13.4","5"
"KEN-C038","Vihiga","57.41","Middle 20%","23","76.71","12","11.61","23.5","5"
"KEN-C039","Bungoma","44.7","Bottom 20%","42","38.37","38","1.57","13","5"
"KEN-C040","Busia","59.04","Upper-middle 20%","18","43.95","35","14.67","35.2","5"
"KEN-C041","Siaya","56.72","Middle 20%","24","32.68","40","-8.26","0.8","5"
"KEN-C042","Kisumu","29.67","Bottom 20%","46","33.91","39","0.59","-2.5","5"
"KEN-C043","Homa Bay","70.37","Top 20%","6","83.67","10","0.59","3.3","5"
"KEN-C044","Migori","69.71","Top 20%","8","73.74","17","-0.72","5.6","7"
"KEN-C045","Kisii","28.97","Bottom 20%","47","63.88","24","-10.17","-6.1","5"
"KEN-C046","Nyamira","39.13","Bottom 20%","44","57.49","28","-15.65","-27.9","5"
"KEN-C047","Nairobi","43.33","Bottom 20%","43","15.08","45","8.79","-0.3","5"
