record_id,geo_code,county_name,family,title,period,publisher,scope,document_url,source_page_url,verification_state,link_status,verified_at,verification_method,reason,notes
"KDA-EVD-KEN-C001-0003","KEN-C001","Mombasa","audit","Auditor-General County Government Audit Reports 2023/24 — Mombasa evidence doorway","FY2023/24","Office of the Auditor-General","official_collection","","https://www.oagkenya.go.ke/2023-2024-county-government-audit-reports/","verified_source_collection","verified_reachable","2026-08-30","official_national_or_government_repository_review","","Official OAG county-government audit collection. The Atlas does not claim a pinned county PDF until its exact item is separately verified."
"KDA-EVD-KEN-C001-0002","KEN-C001","Mombasa","budget_implementation","County Governments Budget Implementation Review Report FY2024/25 — Mombasa section","FY2024/25","Office of the Controller of Budget","national_consolidated_county_report","https://cob.go.ke/download/county-governments-budget-implementation-review-report-fy-2024-25/","https://cob.go.ke/publications/consolidated-county-budget-implementation-review-reports/","verified_document","verified_reachable","2026-08-30","official_national_or_government_repository_review","","Official consolidated annual report contains a county-specific section; section page varies by report edition."
"KDA-EVD-KEN-C001-0005","KEN-C001","Mombasa","cbrop","County Budget Review and Outlook Papers — Mombasa official-policy repository","Current and historical","Kenya Institute for Public Policy Research and Analysis (KIPPRA)","official_policy_repository","","https://repository.kippra.or.ke/","verified_source_collection","verified_reachable","2026-08-30","official_national_or_government_repository_review","","Government public-policy repository indexes county-authored CBROPs. This is a discovery collection, not a pinned county file."
"KDA-EVD-KEN-C001-0004","KEN-C001","Mombasa","cfsp","County Fiscal Strategy Papers — Mombasa official-policy repository","Current and historical","Kenya Institute for Public Policy Research and Analysis (KIPPRA)","official_policy_repository","","https://repository.kippra.or.ke/","verified_source_collection","verified_reachable","2026-08-30","official_national_or_government_repository_review","","Government public-policy repository indexes county-authored CFSPs. This is a discovery collection, not a pinned county file."
"KDA-EVD-KEN-C001-0001","KEN-C001","Mombasa","cidp","Mombasa County Integrated Development Plan 2023–2027","2023–2027","Council of Governors Maarifa Centre","county","","https://maarifa.cog.go.ke/county-integrated-development-plans/mombasa-2023-2027-cidp","verified_source_page","verified_reachable","2026-08-30","official_repository_or_county_site_review","","Official county or Council of Governors repository page for the third-generation CIDP."
"KDA-EVD-KEN-C002-0008","KEN-C002","Kwale","audit","Auditor-General County Government Audit Reports 2023/24 — Kwale evidence doorway","FY2023/24","Office of the Auditor-General","official_collection","","https://www.oagkenya.go.ke/2023-2024-county-government-audit-reports/","verified_source_collection","verified_reachable","2026-08-30","official_national_or_government_repository_review","","Official OAG county-government audit collection. The Atlas does not claim a pinned county PDF until its exact item is separately verified."
"KDA-EVD-KEN-C002-0007","KEN-C002","Kwale","budget_implementation","County Governments Budget Implementation Review Report FY2024/25 — Kwale section","FY2024/25","Office of the Controller of Budget","national_consolidated_county_report","https://cob.go.ke/download/county-governments-budget-implementation-review-report-fy-2024-25/","https://cob.go.ke/publications/consolidated-county-budget-implementation-review-reports/","verified_document","verified_reachable","2026-08-30","official_national_or_government_repository_review","","Official consolidated annual report contains a county-specific section; section page varies by report edition."
"KDA-EVD-KEN-C002-0010","KEN-C002","Kwale","cbrop","County Budget Review and Outlook Papers — Kwale official-policy repository","Current and historical","Kenya Institute for Public Policy Research and Analysis (KIPPRA)","official_policy_repository","","https://repository.kippra.or.ke/","verified_source_collection","verified_reachable","2026-08-30","official_national_or_government_repository_review","","Government public-policy repository indexes county-authored CBROPs. This is a discovery collection, not a pinned county file."
"KDA-EVD-KEN-C002-0009","KEN-C002","Kwale","cfsp","County Fiscal Strategy Papers — Kwale official-policy repository","Current and historical","Kenya Institute for Public Policy Research and Analysis (KIPPRA)","official_policy_repository","","https://repository.kippra.or.ke/","verified_source_collection","verified_reachable","2026-08-30","official_national_or_government_repository_review","","Government public-policy repository indexes county-authored CFSPs. This is a discovery collection, not a pinned county file."
"KDA-EVD-KEN-C002-0006","KEN-C002","Kwale","cidp","Kwale County Integrated Development Plan 2023–2027","2023–2027","County Government of Kwale","county","","https://kwale.go.ke/download/auto-draft-15/","verified_source_page","verified_reachable","2026-08-30","official_repository_or_county_site_review","","Official county or Council of Governors repository page for the third-generation CIDP."
