county_number,geo_code,name,land_area_km2
001,KEN-C001,Mombasa,219.9
002,KEN-C002,Kwale,8267.1
003,KEN-C003,Kilifi,12539.7
004,KEN-C004,Tana River,37950.5
005,KEN-C005,Lamu,6253.3
006,KEN-C006,Taita Taveta,17152.0
007,KEN-C007,Garissa,44736.0
008,KEN-C008,Wajir,56773.1
009,KEN-C009,Mandera,25939.8
010,KEN-C010,Marsabit,70944.1
011,KEN-C011,Isiolo,25350.6
012,KEN-C012,Meru,7006.3
013,KEN-C013,Tharaka-Nithi,2564.4
014,KEN-C014,Embu,2820.7
015,KEN-C015,Kitui,30429.5
016,KEN-C016,Machakos,6042.7
017,KEN-C017,Makueni,8169.8
018,KEN-C018,Nyandarua,3285.7
019,KEN-C019,Nyeri,3325.0
020,KEN-C020,Kirinyaga,1478.3
021,KEN-C021,Murang'a,2524.2
022,KEN-C022,Kiambu,2538.6
023,KEN-C023,Turkana,68232.9
024,KEN-C024,West Pokot,9123.2
025,KEN-C025,Samburu,21065.1
026,KEN-C026,Trans Nzoia,2495.2
027,KEN-C027,Uasin Gishu,3392.2
028,KEN-C028,Elgeyo/Marakwet,3032.0
029,KEN-C029,Nandi,2855.8
030,KEN-C030,Baringo,10976.4
031,KEN-C031,Laikipia,9532.2
032,KEN-C032,Nakuru,7462.4
033,KEN-C033,Narok,17950.3
034,KEN-C034,Kajiado,21871.1
035,KEN-C035,Kericho,2436.1
036,KEN-C036,Bomet,2530.9
037,KEN-C037,Kakamega,3020.0
038,KEN-C038,Vihiga,563.8
039,KEN-C039,Bungoma,3023.9
040,KEN-C040,Busia,1696.3
041,KEN-C041,Siaya,2529.8
042,KEN-C042,Kisumu,2085.4
043,KEN-C043,Homa Bay,3152.5
044,KEN-C044,Migori,2613.5
045,KEN-C045,Kisii,1323.0
046,KEN-C046,Nyamira,897.3
047,KEN-C047,Nairobi City,703.9
