indicator_id,indicator_code,name,short_name,description,topic,subtopic,unit_id,higher_is_better,preferred_frequency,minimum_geo_level,minimum_denominator,methodology_url,comparable,active,ranking_allowed,requires_sampling_uncertainty,lifecycle_status,expected_source,expected_source_url,expected_availability_note,tab,applies_to_levels,applies_to_geography_subset,worldbank_code,composite_disclosure
"4e6d05b0-7b3b-56de-8076-13026d62c16a","IND-POPULATION","Population","Population","Total enumerated population from the census.","Demography","Population","3add048e-c42d-5b05-994c-dad9c6812cc4","","decennial","county","","https://www.knbs.or.ke/2019-kenya-population-and-housing-census-results/","true","true","true","false","active","","","Published/derived only where a real series exists; never inherit a parent value.","people","county|constituency|ward","","",""
"17b6163a-3a31-5968-a0f9-4766937c2bed","IND-CPI-INFLATION","Consumer price inflation","Inflation","Year-on-year headline consumer price inflation rate.","Economy","Prices","09db3d3a-c7b1-51f3-9909-d94d80106e82","false","monthly","country","","https://www.knbs.or.ke/cpi-and-inflation-rates/","true","true","true","false","active","","","","economy","","","",""
"3fcc51b3-a441-5902-b39b-3ccb56eab963","IND-USD-KES","USD/KES exchange rate","USD/KES","US Dollar to Kenya Shilling reference exchange rate.","Economy","Exchange rates","a2522f73-34eb-5b5e-a1d4-383888213b20","","daily","country","","https://www.centralbank.go.ke/rates/","true","true","true","false","active","","","","economy","","","",""
"723524f4-8dde-5740-8c13-bcfa2b16acc6","IND-CBR","Central Bank Rate","CBR","The lowest rate of interest the Central Bank of Kenya charges on loans to banks, set by the Monetary Policy Committee.","Economy","Monetary policy","09db3d3a-c7b1-51f3-9909-d94d80106e82","","irregular","country","","https://www.centralbank.go.ke/rates/central-bank-rate/","true","true","true","false","active","","","","economy","","","",""
"3ff83e1d-ee77-59fb-94de-3ce4eef4d01d","IND-TBILL-91","91-day Treasury bill rate","91-day T-bill","Weighted average yield on the 91-day Treasury bill from the most recent CBK auction.","Economy","Government securities","09db3d3a-c7b1-51f3-9909-d94d80106e82","","weekly","country","","https://www.centralbank.go.ke/rates/","true","true","true","false","active","","","","economy","","","",""
"b8ae11eb-3d12-5072-981d-88d09b3cd8de","IND-REGISTERED-VOTERS","Registered voters","Registered voters","Total registered voters on the certified electoral register.","Elections","Registration","3add048e-c42d-5b05-994c-dad9c6812cc4","","irregular","country","","https://www.iebc.or.ke/","true","true","true","false","active","","","Cross-listed in Representation below county.","people","county|constituency|ward","","",""
"1315e984-c280-57c1-97bb-e183b0b2af77","IND-LAND-AREA","Land area","Area","Land area. County and national values use the official KNBS 2019 census land-area table; constituency and ward values are explicitly boundary-derived estimates.","Geography","Physical geography","288f3c4c-858c-5be1-8803-0529c2870ab7","","irregular","county","","https://github.com/dansamuka/kenya-data-atlas/blob/main/docs/methodology/indicators.md","true","true","true","false","active","","","","infrastructure","county|constituency|ward","","",""
"1e520a03-e5c6-5028-9a7f-c61658067ebd","IND-FUEL-PETROL","Super Petrol pump price","Petrol price","Maximum retail price of Super Petrol, as set monthly by EPRA.","Economy","Energy prices","c378415c-0864-5d65-9772-35dda6b0fb78","false","monthly","county","","https://www.epra.go.ke/pump-price-formulae","true","true","true","false","active","","","","economy","county","","",""
"8435738a-3644-55d7-8962-293657dad285","IND-STATISTICAL-PERFORMANCE","Statistical Performance Indicators — Overall score","Statistical performance","World Bank Statistical Performance Indicators overall score for Kenya's statistical system.","Institutions","Statistical system","04b90096-6bfb-521e-957b-e8b0f4cf1988","","annual","country","","https://data.worldbank.org/indicator/IQ.SPI.OVRL?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/IQ.SPI.OVRL?locations=KE","National-only WDI series; never inherit to a subnational geography.","economy","","","IQ.SPI.OVRL","Compiled index; not a raw statistic."
"e2cf8e97-8178-5813-a7ca-43f214900619","IND-ELECTRICITY-ACCESS-WB","Access to electricity (% of population)","Electricity access","Share of Kenya's population with access to electricity, harmonised by the World Bank for international comparability.","Infrastructure","Electricity access","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS?locations=KE","National-only WDI series; never inherit to a subnational geography.","infrastructure","","","EG.ELC.ACCS.ZS",""
