unit_id,code,name,symbol,dimension,scale_factor,decimal_places,currency_code
"3add048e-c42d-5b05-994c-dad9c6812cc4","persons","Persons","","count","1","0",""
"09db3d3a-c7b1-51f3-9909-d94d80106e82","percent","Percent","%","ratio","1","1",""
"a2522f73-34eb-5b5e-a1d4-383888213b20","kes_per_usd","Kenya Shillings per US Dollar","KES/USD","ratio","1","2","KES"
"288f3c4c-858c-5be1-8803-0529c2870ab7","km2","Square kilometres","km²","area","1","1",""
"c378415c-0864-5d65-9772-35dda6b0fb78","kes_per_litre","Kenya Shillings per litre","KES/L","currency","1","2","KES"
"301fb81d-4436-5309-8fc5-547d222b8ffe","kes_million","Kenya Shillings, million","KSh mn","currency","1000000","2","KES"
"2b7566ee-fd7f-510a-90da-d0b4f60268c7","count","Count","count","count","1","0",""
"6590aac1-b204-58cd-a9f0-8fab3fed5cdc","persons_per_household","Persons per household","persons/household","rate","1","1",""
"04b90096-6bfb-521e-957b-e8b0f4cf1988","index_score","Score","score","index","1","1",""
"2c409624-a5da-51da-9394-3cd07cf5b2a9","category","Categorical value","","category","1","0",""
"3ac76693-4ae7-5fa1-a35f-019af2d4a642","km","Kilometres","km","length","1","1",""
"390aea4f-9e25-5bd3-82ff-84463986de5e","per_10000_persons","Per 10,000 population","per 10k","rate","1","1",""
"05877091-2fa7-5ff3-af23-1fe97ba689b1","climate_measure","Rainfall / temperature measure","mm / °C","climate","1","1",""
