geo_code,name,metric_code,value,unit_code,period_start,period_end,period_label,source_url,source_table,source_page,notes
KEN-C001,Mombasa,IND-RENT-BURDEN,34.6,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C002,Kwale,IND-RENT-BURDEN,27.4,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C003,Kilifi,IND-RENT-BURDEN,34.3,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C004,Tana River,IND-RENT-BURDEN,22.3,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C005,Lamu,IND-RENT-BURDEN,29.9,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C006,Taita/Taveta,IND-RENT-BURDEN,31.5,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C007,Garissa,IND-RENT-BURDEN,35.5,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C008,Wajir,IND-RENT-BURDEN,38.9,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C009,Mandera,IND-RENT-BURDEN,28.2,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C010,Marsabit,IND-RENT-BURDEN,42.0,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C011,Isiolo,IND-RENT-BURDEN,32.6,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
