county_number,geo_code,name,internet_use_pct,computer_use_pct,main_grid_electricity_pct
001,KEN-C001,Mombasa,46.9,15.4,82.9
002,KEN-C002,Kwale,25.6,4.9,49.5
003,KEN-C003,Kilifi,30.5,6.4,35.7
004,KEN-C004,Tana River,15.5,3.7,40.1
005,KEN-C005,Lamu,28.8,4.4,46.4
006,KEN-C006,Taita Taveta,37.6,13.4,59.3
007,KEN-C007,Garissa,16.5,4.6,33.6
008,KEN-C008,Wajir,24.2,2.0,21.7
009,KEN-C009,Mandera,24.9,3.6,24.8
010,KEN-C010,Marsabit,16.3,3.5,37.1
011,KEN-C011,Isiolo,33.1,11.3,47.0
012,KEN-C012,Meru,31.4,10.5,48.8
013,KEN-C013,Tharaka-Nithi,33.4,11.9,53.0
014,KEN-C014,Embu,36.8,13.2,49.4
015,KEN-C015,Kitui,26.2,7.0,22.1
016,KEN-C016,Machakos,37.3,13.5,42.2
017,KEN-C017,Makueni,30.3,4.5,23.4
018,KEN-C018,Nyandarua,41.6,13.6,64.6
019,KEN-C019,Nyeri,50.1,21.3,87.1
020,KEN-C020,Kirinyaga,36.6,12.6,79.5
021,KEN-C021,Murang'a,35.8,11.7,87.3
022,KEN-C022,Kiambu,54.0,14.7,95.1
023,KEN-C023,Turkana,12.7,4.3,9.0
024,KEN-C024,West Pokot,9.1,4.4,14.8
025,KEN-C025,Samburu,18.9,6.4,22.9
026,KEN-C026,Trans Nzoia,30.6,10.1,43.5
027,KEN-C027,Uasin Gishu,42.1,10.9,66.1
028,KEN-C028,Elgeyo/Marakwet,30.3,10.6,37.1
029,KEN-C029,Nandi,24.4,8.8,48.7
030,KEN-C030,Baringo,23.4,5.2,34.0
031,KEN-C031,Laikipia,38.0,13.6,47.0
032,KEN-C032,Nakuru,40.1,13.8,65.4
033,KEN-C033,Narok,20.5,6.7,23.6
034,KEN-C034,Kajiado,37.0,12.4,63.9
035,KEN-C035,Kericho,26.4,9.6,45.3
036,KEN-C036,Bomet,20.6,8.8,34.3
037,KEN-C037,Kakamega,35.0,6.4,38.7
038,KEN-C038,Vihiga,18.3,6.2,45.1
039,KEN-C039,Bungoma,34.9,10.3,30.6
040,KEN-C040,Busia,29.7,8.2,29.5
041,KEN-C041,Siaya,27.4,9.5,24.0
042,KEN-C042,Kisumu,33.4,15.8,56.7
043,KEN-C043,Homa Bay,27.7,11.4,20.1
044,KEN-C044,Migori,30.4,12.0,30.8
045,KEN-C045,Kisii,28.1,9.8,54.3
046,KEN-C046,Nyamira,26.4,12.5,58.2
047,KEN-C047,Nairobi,64.7,27.8,95.2
