county_number,geo_code,name,agriculture_gva_ksh_m,manufacturing_gva_ksh_m,gcp_ksh_m,agriculture_share_pct,manufacturing_share_pct
001,KEN-C001,Mombasa,5910.0,19021.0,711088.0,0.83,2.67
002,KEN-C002,Kwale,55143.0,8744.0,169375.0,32.56,5.16
003,KEN-C003,Kilifi,69330.0,56123.0,321352.0,21.57,17.46
004,KEN-C004,Tana River,18160.0,1119.0,51145.0,35.51,2.19
005,KEN-C005,Lamu,16680.0,1685.0,50222.0,33.21,3.36
006,KEN-C006,Taita Taveta,23781.0,3514.0,97878.0,24.3,3.59
007,KEN-C007,Garissa,34162.0,1699.0,89170.0,38.31,1.91
008,KEN-C008,Wajir,26566.0,1686.0,76431.0,34.76,2.21
009,KEN-C009,Mandera,34682.0,1844.0,88395.0,39.24,2.09
010,KEN-C010,Marsabit,23375.0,981.0,88848.0,26.31,1.1
011,KEN-C011,Isiolo,14008.0,784.0,46218.0,30.31,1.7
012,KEN-C012,Meru,306838.0,23908.0,525775.0,58.36,4.55
013,KEN-C013,Tharaka-Nithi,36330.0,4072.0,95071.0,38.21,4.28
014,KEN-C014,Embu,60739.0,5291.0,218893.0,27.75,2.42
015,KEN-C015,Kitui,68893.0,4996.0,196332.0,35.09,2.54
016,KEN-C016,Machakos,72600.0,100203.0,476363.0,15.24,21.04
017,KEN-C017,Makueni,42076.0,6136.0,159220.0,26.43,3.85
018,KEN-C018,Nyandarua,152245.0,3483.0,218167.0,69.78,1.6
019,KEN-C019,Nyeri,107225.0,15593.0,286882.0,37.38,5.44
020,KEN-C020,Kirinyaga,75839.0,8976.0,185978.0,40.78,4.83
021,KEN-C021,Murang'a,144939.0,12489.0,295890.0,48.98,4.22
022,KEN-C022,Kiambu,130260.0,92272.0,819834.0,15.89,11.25
023,KEN-C023,Turkana,76096.0,3588.0,178441.0,42.64,2.01
024,KEN-C024,West Pokot,44281.0,1316.0,111134.0,39.84,1.18
025,KEN-C025,Samburu,8652.0,1766.0,44847.0,19.29,3.94
026,KEN-C026,Trans Nzoia,104498.0,7147.0,247909.0,42.15,2.88
027,KEN-C027,Uasin Gishu,115076.0,14130.0,382738.0,30.07,3.69
028,KEN-C028,Elgeyo/Marakwet,94130.0,3202.0,150318.0,62.62,2.13
029,KEN-C029,Nandi,134622.0,17780.0,235499.0,57.16,7.55
030,KEN-C030,Baringo,49063.0,6082.0,119126.0,41.19,5.11
031,KEN-C031,Laikipia,32270.0,3863.0,134909.0,23.92,2.86
032,KEN-C032,Nakuru,227544.0,48792.0,771775.0,29.48,6.32
033,KEN-C033,Narok,123818.0,10173.0,255960.0,48.37,3.97
034,KEN-C034,Kajiado,35508.0,13676.0,243374.0,14.59,5.62
035,KEN-C035,Kericho,115342.0,19810.0,251273.0,45.9,7.88
036,KEN-C036,Bomet,112380.0,19232.0,221429.0,50.75,8.69
037,KEN-C037,Kakamega,122370.0,20387.0,316393.0,38.68,6.44
038,KEN-C038,Vihiga,51140.0,1877.0,116112.0,44.04,1.62
039,KEN-C039,Bungoma,133397.0,10910.0,305311.0,43.69,3.57
040,KEN-C040,Busia,46552.0,4129.0,132204.0,35.21,3.12
041,KEN-C041,Siaya,67741.0,4606.0,163867.0,41.34,2.81
042,KEN-C042,Kisumu,58886.0,41477.0,370851.0,15.88,11.18
043,KEN-C043,Homa Bay,94619.0,6469.0,200564.0,47.18,3.23
044,KEN-C044,Migori,73311.0,4900.0,183338.0,39.99,2.67
045,KEN-C045,Kisii,114734.0,8188.0,287469.0,39.91,2.85
046,KEN-C046,Nyamira,83126.0,7826.0,169151.0,49.14,4.63
047,KEN-C047,Nairobi,7166.0,420449.0,4105576.0,0.17,10.24
