county_number,geo_code,name,public_primary_schools,primary_classroom_teachers,public_secondary_schools,secondary_teachers
001,KEN-C001,Mombasa,96,1329,52,944
002,KEN-C002,Kwale,415,3178,102,1162
003,KEN-C003,Kilifi,543,4935,161,1988
004,KEN-C004,Tana River,178,1121,35,398
005,KEN-C005,Lamu,114,829,28,363
006,KEN-C006,Taita Taveta,218,1679,88,1001
007,KEN-C007,Garissa,195,734,39,529
008,KEN-C008,Wajir,296,1034,61,575
009,KEN-C009,Mandera,295,900,58,547
010,KEN-C010,Marsabit,180,1087,45,511
011,KEN-C011,Isiolo,112,877,32,363
012,KEN-C012,Meru,762,7266,392,4375
013,KEN-C013,Tharaka-Nithi,431,3197,153,2116
014,KEN-C014,Embu,390,3128,195,2290
015,KEN-C015,Kitui,1382,8166,452,3684
016,KEN-C016,Machakos,845,6672,369,3874
017,KEN-C017,Makueni,886,6641,392,3874
018,KEN-C018,Nyandarua,347,3197,178,2151
019,KEN-C019,Nyeri,389,3126,221,3030
020,KEN-C020,Kirinyaga,196,2242,150,2034
021,KEN-C021,Murang'a,512,4700,324,4831
022,KEN-C022,Kiambu,457,5209,290,5533
023,KEN-C023,Turkana,399,1482,60,643
024,KEN-C024,West Pokot,654,2694,178,1439
025,KEN-C025,Samburu,184,1053,50,532
026,KEN-C026,Trans Nzoia,376,4142,240,2546
027,KEN-C027,Uasin Gishu,492,4377,197,2551
028,KEN-C028,Elgeyo/Marakwet,406,3120,137,1753
029,KEN-C029,Nandi,774,4943,245,2484
030,KEN-C030,Baringo,722,5511,180,1942
031,KEN-C031,Laikipia,278,2186,124,1558
032,KEN-C032,Nakuru,741,7875,373,4496
033,KEN-C033,Narok,711,4700,170,1579
034,KEN-C034,Kajiado,470,2955,96,1274
035,KEN-C035,Kericho,579,4483,247,2637
036,KEN-C036,Bomet,674,3935,280,2407
037,KEN-C037,Kakamega,895,9273,421,4943
038,KEN-C038,Vihiga,381,3439,159,2204
039,KEN-C039,Bungoma,777,7774,370,4364
040,KEN-C040,Busia,439,4182,165,2001
041,KEN-C041,Siaya,647,5008,243,2627
042,KEN-C042,Kisumu,608,5179,228,3060
043,KEN-C043,Homa Bay,873,5921,333,3194
044,KEN-C044,Migori,642,5381,283,2691
045,KEN-C045,Kisii,707,6187,355,4565
046,KEN-C046,Nyamira,401,3386,193,2256
047,KEN-C047,Nairobi,205,3496,102,2650
