county_number,geo_code,name,maize_area_ha,maize_production_tonnes,maize_yield_t_per_ha
001,KEN-C001,Mombasa,876.0,878.0,1.002
002,KEN-C002,Kwale,60518.0,61037.0,1.009
003,KEN-C003,Kilifi,95674.0,81813.0,0.855
004,KEN-C004,Tana River,5734.0,5879.0,1.025
005,KEN-C005,Lamu,45800.0,74318.0,1.623
006,KEN-C006,Taita Taveta,13596.0,12393.0,0.912
007,KEN-C007,Garissa,142.0,132.0,0.93
008,KEN-C008,Wajir,132.0,34.0,0.258
009,KEN-C009,Mandera,3209.0,2738.0,0.853
010,KEN-C010,Marsabit,2184.0,337.0,0.154
011,KEN-C011,Isiolo,256.0,176.0,0.688
012,KEN-C012,Meru,142379.0,151039.0,1.061
013,KEN-C013,Tharaka-Nithi,26617.0,33808.0,1.27
014,KEN-C014,Embu,34500.0,41327.0,1.198
015,KEN-C015,Kitui,83618.0,36292.0,0.434
016,KEN-C016,Machakos,138830.0,175493.0,1.264
017,KEN-C017,Makueni,136912.0,81363.0,0.594
018,KEN-C018,Nyandarua,20716.0,46617.0,2.25
019,KEN-C019,Nyeri,31317.0,35280.0,1.127
020,KEN-C020,Kirinyaga,38467.0,49692.0,1.292
021,KEN-C021,Murang'a,68399.0,56827.0,0.831
022,KEN-C022,Kiambu,30537.0,29692.0,0.972
023,KEN-C023,Turkana,1750.0,1331.0,0.761
024,KEN-C024,West Pokot,49097.0,96010.0,1.956
025,KEN-C025,Samburu,6448.0,15298.0,2.373
026,KEN-C026,Trans Nzoia,125065.0,448011.0,3.582
027,KEN-C027,Uasin Gishu,117923.0,476538.0,4.041
028,KEN-C028,Elgeyo/Marakwet,43133.0,150221.0,3.483
029,KEN-C029,Nandi,67429.0,159556.0,2.366
030,KEN-C030,Baringo,42501.0,94877.0,2.232
031,KEN-C031,Laikipia,29596.0,44264.0,1.496
032,KEN-C032,Nakuru,71470.0,215412.0,3.014
033,KEN-C033,Narok,132396.0,314403.0,2.375
034,KEN-C034,Kajiado,33241.0,40733.0,1.225
035,KEN-C035,Kericho,40643.0,111130.0,2.734
036,KEN-C036,Bomet,27250.0,63230.0,2.32
037,KEN-C037,Kakamega,87532.0,132572.0,1.515
038,KEN-C038,Vihiga,24921.0,29659.0,1.19
039,KEN-C039,Bungoma,92847.0,222912.0,2.401
040,KEN-C040,Busia,44097.0,71237.0,1.615
041,KEN-C041,Siaya,77550.0,115191.0,1.485
042,KEN-C042,Kisumu,62195.0,105003.0,1.688
043,KEN-C043,Homa Bay,78795.0,115635.0,1.468
044,KEN-C044,Migori,78567.0,101474.0,1.292
045,KEN-C045,Kisii,66221.0,119244.0,1.801
046,KEN-C046,Nyamira,48175.0,63424.0,1.317
047,KEN-C047,Nairobi,758.0,676.0,0.892
