county_number,geo_code,name,public_primary_schools,primary_classroom_teachers,public_secondary_schools,secondary_teachers,level4_hospitals_2017,level5_hospitals_2017,approx_doctors_cra2011
001,KEN-C001,Mombasa,96,1329,52,944,6,1,134
002,KEN-C002,Kwale,415,3178,102,1162,3,0,14
003,KEN-C003,Kilifi,543,4935,161,1988,7,0,23
004,KEN-C004,Tana River,178,1121,35,398,2,0,5
005,KEN-C005,Lamu,114,829,28,363,3,0,
006,KEN-C006,Taita Taveta,218,1679,88,1001,5,0,4
007,KEN-C007,Garissa,195,734,39,529,7,1,12
008,KEN-C008,Wajir,296,1034,61,575,10,0,5
009,KEN-C009,Mandera,295,900,58,547,6,0,4
010,KEN-C010,Marsabit,180,1087,45,511,4,0,1
011,KEN-C011,Isiolo,112,877,32,363,3,0,1
012,KEN-C012,Meru,762,7266,392,4375,17,1,36
013,KEN-C013,Tharaka-Nithi,431,3197,153,2116,6,0,17
014,KEN-C014,Embu,390,3128,195,2290,5,1,40
015,KEN-C015,Kitui,1382,8166,452,3684,12,0,39
016,KEN-C016,Machakos,845,6672,369,3874,6,1,41
017,KEN-C017,Makueni,886,6641,392,3874,11,0,24
018,KEN-C018,Nyandarua,347,3197,178,2151,3,0,27
019,KEN-C019,Nyeri,389,3126,221,3030,6,1,139
020,KEN-C020,Kirinyaga,196,2242,150,2034,5,0,17
021,KEN-C021,Murang'a,512,4700,324,4831,10,0,55
022,KEN-C022,Kiambu,457,5209,290,5533,17,1,108
023,KEN-C023,Turkana,399,1482,60,643,7,0,3
024,KEN-C024,West Pokot,654,2694,178,1439,5,0,7
025,KEN-C025,Samburu,184,1053,50,532,3,0,9
026,KEN-C026,Trans Nzoia,376,4142,240,2546,5,0,3
027,KEN-C027,Uasin Gishu,492,4377,197,2551,3,0,224
028,KEN-C028,Elgeyo/Marakwet,406,3120,137,1753,8,0,6
029,KEN-C029,Nandi,774,4943,245,2484,5,0,8
030,KEN-C030,Baringo,722,5511,180,1942,4,0,2
031,KEN-C031,Laikipia,278,2186,124,1558,4,0,19
032,KEN-C032,Nakuru,741,7875,373,4496,10,1,50
033,KEN-C033,Narok,711,4700,170,1579,5,0,21
034,KEN-C034,Kajiado,470,2955,96,1274,4,0,9
035,KEN-C035,Kericho,579,4483,247,2637,9,0,51
036,KEN-C036,Bomet,674,3935,280,2407,5,1,7
037,KEN-C037,Kakamega,895,9273,421,4943,13,1,24
038,KEN-C038,Vihiga,381,3439,159,2204,5,0,3
039,KEN-C039,Bungoma,777,7774,370,4364,10,0,36
040,KEN-C040,Busia,439,4182,165,2001,7,0,16
041,KEN-C041,Siaya,647,5008,243,2627,8,0,19
042,KEN-C042,Kisumu,608,5179,228,3060,14,1,65
043,KEN-C043,Homa Bay,873,5921,333,3194,14,0,22
044,KEN-C044,Migori,642,5381,283,2691,11,0,23
045,KEN-C045,Kisii,707,6187,355,4565,14,1,4
046,KEN-C046,Nyamira,401,3386,193,2256,8,0,6
047,KEN-C047,Nairobi City,205,3496,102,2650,14,1,136
