representative_id,role_id,level,geo_code,geography_name,person_name,party,status,term_label,source_tier,verification_date,freshness_status,source,source_url,corrected,notes
"WOMANREP-KEN-C001","county_woman_representative","county","KEN-C001","Mombasa","HON. CHIMBA, ZAMZAM MOHAMED","ODM","elected","13th Parliament roster as at 12 Aug 2026","A","2026-08-12","current","Parliament of Kenya -- National Assembly","https://www.parliament.go.ke/sites/default/files/2026-08/List%20of%20Members%20by%20Parties%2013th%20Parliament%20as%20at%2012082026_1.pdf","false",""
"WOMANREP-KEN-C002","county_woman_representative","county","KEN-C002","Kwale","HON. MASITO, FATUMA HAMISI","ODM","elected","13th Parliament roster as at 12 Aug 2026","A","2026-08-12","current","Parliament of Kenya -- National Assembly","https://www.parliament.go.ke/sites/default/files/2026-08/List%20of%20Members%20by%20Parties%2013th%20Parliament%20as%20at%2012082026_1.pdf","false",""
"WOMANREP-KEN-C003","county_woman_representative","county","KEN-C003","Kilifi","HON. MWANYANJE, GERTRUDE MBEYU","ODM","elected","13th Parliament roster as at 12 Aug 2026","A","2026-08-12","current","Parliament of Kenya -- National Assembly","https://www.parliament.go.ke/sites/default/files/2026-08/List%20of%20Members%20by%20Parties%2013th%20Parliament%20as%20at%2012082026_1.pdf","false",""
"WOMANREP-KEN-C004","county_woman_representative","county","KEN-C004","Tana River","HON. ABDULLAHI, AMINA DIKA","KANU","elected","13th Parliament roster as at 12 Aug 2026","A","2026-08-12","current","Parliament of Kenya -- National Assembly","https://www.parliament.go.ke/sites/default/files/2026-08/List%20of%20Members%20by%20Parties%2013th%20Parliament%20as%20at%2012082026_1.pdf","false",""
"WOMANREP-KEN-C005","county_woman_representative","county","KEN-C005","Lamu","HON. MARUBU, MONICAH MUTHONI","Independent","elected","13th Parliament roster as at 12 Aug 2026","A","2026-08-12","current","Parliament of Kenya -- National Assembly","https://www.parliament.go.ke/sites/default/files/2026-08/List%20of%20Members%20by%20Parties%2013th%20Parliament%20as%20at%2012082026_1.pdf","false",""
"WOMANREP-KEN-C006","county_woman_representative","county","KEN-C006","Taita Taveta","HON. MIZIGHI, LYDIA HAIKA MNENE","UDA","elected","13th Parliament roster as at 12 Aug 2026","A","2026-08-12","current","Parliament of Kenya -- National Assembly","https://www.parliament.go.ke/sites/default/files/2026-08/List%20of%20Members%20by%20Parties%2013th%20Parliament%20as%20at%2012082026_1.pdf","false",""
"WOMANREP-KEN-C007","county_woman_representative","county","KEN-C007","Garissa","HON. SIYAD, AMINA UDGOON","JP","elected","13th Parliament roster as at 12 Aug 2026","A","2026-08-12","current","Parliament of Kenya -- National Assembly","https://www.parliament.go.ke/sites/default/files/2026-08/List%20of%20Members%20by%20Parties%2013th%20Parliament%20as%20at%2012082026_1.pdf","false",""
"WOMANREP-KEN-C008","county_woman_representative","county","KEN-C008","Wajir","HON. JEHOW, FATUMA ABDI","ODM","elected","13th Parliament roster as at 12 Aug 2026","A","2026-08-12","current","Parliament of Kenya -- National Assembly","https://www.parliament.go.ke/sites/default/files/2026-08/List%20of%20Members%20by%20Parties%2013th%20Parliament%20as%20at%2012082026_1.pdf","false",""
"WOMANREP-KEN-C009","county_woman_representative","county","KEN-C009","Mandera","HON. SHEIKH, UMUL KER KASSIM","UDM","elected","13th Parliament roster as at 12 Aug 2026","A","2026-08-12","current","Parliament of Kenya -- National Assembly","https://www.parliament.go.ke/sites/default/files/2026-08/List%20of%20Members%20by%20Parties%2013th%20Parliament%20as%20at%2012082026_1.pdf","false",""
"WOMANREP-KEN-C010","county_woman_representative","county","KEN-C010","Marsabit","HON. WAQO, NAOMI JILLO","UDA","elected","13th Parliament roster as at 12 Aug 2026","A","2026-08-12","current","Parliament of Kenya -- National Assembly","https://www.parliament.go.ke/sites/default/files/2026-08/List%20of%20Members%20by%20Parties%2013th%20Parliament%20as%20at%2012082026_1.pdf","false",""
