geo_code,name,budget_total_ksh_mn,expenditure_total_ksh_mn,development_absorption_pct,overall_absorption_pct
KEN-C001,Mombasa,17360.0,13316.23,62,77
KEN-C002,Kwale,14876.06,10085.02,44,68
KEN-C003,Kilifi,21406.5,15932.1,59,74
KEN-C004,Tana River,9177.72,6705.9,56,73
KEN-C005,Lamu,4988.65,3828.46,53,77
KEN-C006,Taita/Taveta,8179.7,6607.73,63,81
KEN-C007,Garissa,12005.81,9904.45,67,82
KEN-C008,Wajir,13517.62,11455.02,71,85
KEN-C009,Mandera,14567.55,12713.17,72,87
KEN-C010,Marsabit,10318.61,8625.61,71,84
KEN-C011,Isiolo,6805.05,4297.96,52,63
KEN-C012,Meru,13108.95,11647.06,73,89
KEN-C013,Tharaka-Nithi,7005.68,5462.63,52,78
KEN-C014,Embu,8533.54,6352.93,58,74
KEN-C015,Kitui,14305.36,12459.66,69,87
KEN-C016,Machakos,15622.16,11807.44,41,76
KEN-C017,Makueni,11580.21,10082.1,71,87
KEN-C018,Nyandarua,8779.76,7059.73,62,80
KEN-C019,Nyeri,9004.03,7911.64,68,88
KEN-C020,Kirinyaga,7925.71,6666.53,72,84
KEN-C021,Murang'a,10743.65,9184.72,71,85
KEN-C022,Kiambu,23480.38,16495.58,37,70
KEN-C023,Turkana,17213.59,13548.66,65,79
KEN-C024,West Pokot,8101.51,7223.89,68,89
KEN-C025,Samburu,7382.22,6507.46,71,88
KEN-C026,Trans Nzoia,10455.02,9275.11,77,89
KEN-C027,Uasin Gishu,15179.79,11132.21,57,73
KEN-C028,Elgeyo-Marakwet,7899.87,5728.28,39,73
KEN-C029,Nandi,10188.22,9984.94,90,98
KEN-C030,Baringo,8983.76,7211.31,53,80
KEN-C031,Laikipia,8479.54,6249.43,46,74
KEN-C032,Nakuru,23980.4,15965.37,42,67
KEN-C033,Narok,17567.52,15838.27,74,90
KEN-C034,Kajiado,12786.47,9627.07,46,75
KEN-C035,Kericho,9756.94,7976.04,72,82
KEN-C036,Bomet,9831.7,7876.38,61,80
KEN-C037,Kakamega,17646.79,14347.46,60,81
KEN-C038,Vihiga,7105.9,5610.94,57,79
KEN-C039,Bungoma,16704.46,12492.78,57,75
KEN-C040,Busia,10770.15,8305.12,69,77
KEN-C041,Siaya,10948.13,7748.65,57,71
KEN-C042,Kisumu,15314.33,9467.84,29,62
KEN-C043,Homa Bay,13130.57,10752.69,69,82
KEN-C044,Migori,12147.01,10120.43,62,83
KEN-C045,Kisii,15155.35,9963.15,40,66
KEN-C046,Nyamira,8102.9,5656.74,37,70
KEN-C047,Nairobi City,43564.27,33523.47,29,77
