geo_code,name,2020,2021,2022,2023,2024
KEN-C001,Mombasa,469299,528840,605258,670023,711088
KEN-C002,Kwale,119049,136830,152436,164038,169375
KEN-C003,Kilifi,200075,233337,263157,293066,321352
KEN-C004,Tana River,29469,35516,37693,43484,51145
KEN-C005,Lamu,32759,36525,42345,49580,50222
KEN-C006,Taita/Taveta,63620,73307,79722,88610,97878
KEN-C007,Garissa,59342,66047,67519,73828,89170
KEN-C008,Wajir,49166,59135,65165,69626,76431
KEN-C009,Mandera,57012,62876,63659,74043,88395
KEN-C010,Marsabit,59514,67869,73359,85638,88848
KEN-C011,Isiolo,26588,29509,32530,36845,46218
KEN-C012,Meru,330174,377767,415003,473666,525775
KEN-C013,Tharaka-Nithi,61474,71047,80473,89248,95071
KEN-C014,Embu,148107,163399,180715,194121,218893
KEN-C015,Kitui,154360,142637,162744,176954,196332
KEN-C016,Machakos,309525,353472,391357,447575,476363
KEN-C017,Makueni,110231,123371,135913,148630,159220
KEN-C018,Nyandarua,149741,162032,181580,202065,218167
KEN-C019,Nyeri,209872,224205,237391,263814,286882
KEN-C020,Kirinyaga,123782,139626,155473,173594,185978
KEN-C021,Murang'a,200547,225970,249118,261520,295890
KEN-C022,Kiambu,555593,618360,695551,760998,819834
KEN-C023,Turkana,107455,111946,133309,155744,178441
KEN-C024,West Pokot,79081,83148,87113,105971,111134
KEN-C025,Samburu,29098,31030,34351,39360,44847
KEN-C026,Trans Nzoia,165744,177618,196597,228901,247909
KEN-C027,Uasin Gishu,228044,266546,296307,344659,382738
KEN-C028,Elgeyo-Marakwet,117246,130358,121746,137127,150318
KEN-C029,Nandi,149170,164996,189766,215199,235499
KEN-C030,Baringo,75473,85219,91307,106909,119126
KEN-C031,Laikipia,94686,100425,115507,127981,134909
KEN-C032,Nakuru,479851,565879,633411,755946,771775
KEN-C033,Narok,165502,185178,204506,235112,255960
KEN-C034,Kajiado,151101,160622,190875,220303,243374
KEN-C035,Kericho,163474,182174,205105,228447,251273
KEN-C036,Bomet,151199,168199,199716,208913,221429
KEN-C037,Kakamega,214435,246157,271549,286977,316393
KEN-C038,Vihiga,83809,90314,101042,110396,116112
KEN-C039,Bungoma,205568,225689,252535,264244,305311
KEN-C040,Busia,88756,99739,114489,123176,132204
KEN-C041,Siaya,103951,119870,134574,142092,163867
KEN-C042,Kisumu,246965,271383,309513,341154,370851
KEN-C043,Homa Bay,120773,147854,168678,182858,200564
KEN-C044,Migori,120673,137891,153121,162286,183338
KEN-C045,Kisii,198254,220670,246432,265371,287469
KEN-C046,Nyamira,117033,125423,144185,151092,169151
KEN-C047,Nairobi City,2685707,3001449,3453792,3834171,4105576
