geo_code,name,value
KEN-C001,Mombasa,939370
KEN-C002,Kwale,649931
KEN-C003,Kilifi,1109735
KEN-C004,Tana River,240075
KEN-C005,Lamu,101539
KEN-C006,Taita/Taveta,284657
KEN-C007,Garissa,623060
KEN-C008,Wajir,661941
KEN-C009,Mandera,1025756
KEN-C010,Marsabit,291166
KEN-C011,Isiolo,143294
KEN-C012,Meru,1356301
KEN-C013,Tharaka-Nithi,365330
KEN-C014,Embu,516212
KEN-C015,Kitui,1012709
KEN-C016,Machakos,1098584
KEN-C017,Makueni,884527
KEN-C018,Nyandarua,596268
KEN-C019,Nyeri,693558
KEN-C020,Kirinyaga,528054
KEN-C021,Murang'a,942581
KEN-C022,Kiambu,1623282
KEN-C023,Turkana,855399
KEN-C024,West Pokot,512690
KEN-C025,Samburu,223947
KEN-C026,Trans Nzoia,818757
KEN-C027,Uasin Gishu,894179
KEN-C028,Elgeyo-Marakwet,369998
KEN-C029,Nandi,752965
KEN-C030,Baringo,555561
KEN-C031,Laikipia,399227
KEN-C032,Nakuru,1603325
KEN-C033,Narok,850920
KEN-C034,Kajiado,687312
KEN-C035,Kericho,758339
KEN-C036,Bomet,724186
KEN-C037,Kakamega,1660651
KEN-C038,Vihiga,554622
KEN-C039,Bungoma,1375063
KEN-C040,Busia,743946
KEN-C041,Siaya,842304
KEN-C042,Kisumu,968909
KEN-C043,Homa Bay,963794
KEN-C044,Migori,917170
KEN-C045,Kisii,1152282
KEN-C046,Nyamira,598252
KEN-C047,Nairobi City,3138369
