geo_code,name,value
KEN-C001,Mombasa,641913
KEN-C002,Kwale,328253
KEN-C003,Kilifi,588602
KEN-C004,Tana River,141096
KEN-C005,Lamu,81453
KEN-C006,Taita/Taveta,181827
KEN-C007,Garissa,201473
KEN-C008,Wajir,207758
KEN-C009,Mandera,217030
KEN-C010,Marsabit,166912
KEN-C011,Isiolo,89504
KEN-C012,Meru,772139
KEN-C013,Tharaka-Nithi,231932
KEN-C014,Embu,334302
KEN-C015,Kitui,532758
KEN-C016,Machakos,687565
KEN-C017,Makueni,479401
KEN-C018,Nyandarua,361165
KEN-C019,Nyeri,481632
KEN-C020,Kirinyaga,376001
KEN-C021,Murang'a,620929
KEN-C022,Kiambu,1275008
KEN-C023,Turkana,238528
KEN-C024,West Pokot,220026
KEN-C025,Samburu,100014
KEN-C026,Trans Nzoia,398981
KEN-C027,Uasin Gishu,506138
KEN-C028,Elgeyo-Marakwet,213884
KEN-C029,Nandi,406288
KEN-C030,Baringo,281053
KEN-C031,Laikipia,263012
KEN-C032,Nakuru,1054856
KEN-C033,Narok,398784
KEN-C034,Kajiado,463273
KEN-C035,Kericho,428067
KEN-C036,Bomet,376985
KEN-C037,Kakamega,844551
KEN-C038,Vihiga,310043
KEN-C039,Bungoma,646598
KEN-C040,Busia,416756
KEN-C041,Siaya,533595
KEN-C042,Kisumu,606754
KEN-C043,Homa Bay,551071
KEN-C044,Migori,469019
KEN-C045,Kisii,637010
KEN-C046,Nyamira,323283
KEN-C047,Nairobi City,2415310
