date,cbr_pct
2008-08-06,9.00
2008-09-29,9.00
2008-10-01,9.00
2008-10-29,9.00
2008-12-01,8.50
2009-01-30,8.50
2009-03-20,8.25
2009-05-21,8.00
2009-07-22,7.75
2009-09-23,7.75
2009-11-24,7.00
2010-01-26,7.00
2010-03-23,6.75
2010-05-20,6.75
2010-07-28,6.00
2010-08-02,6.00
2010-09-23,6.00
2010-11-25,6.00
2011-01-27,5.75
2011-03-22,6.00
2011-05-31,6.25
2011-07-27,6.25
2011-09-14,7.00
2011-10-05,11.00
2011-11-01,16.50
2011-12-01,18.00
2012-01-11,18.00
2012-02-01,18.00
2012-03-06,18.00
2012-04-04,18.00
2012-05-03,18.00
2012-06-05,18.00
2012-07-05,16.50
2012-09-05,13.00
2012-11-07,11.00
2013-01-10,9.50
2013-03-12,9.50
2013-05-07,8.50
2013-07-09,8.50
2013-09-03,8.50
2013-11-05,8.50
2014-01-14,8.50
2014-03-04,8.50
2014-04-30,8.50
2014-07-08,8.50
2014-09-03,8.50
2014-11-04,8.50
2015-01-14,8.50
2015-02-26,8.50
2015-05-06,8.50
2015-06-09,10.00
2015-07-07,11.50
2015-08-05,11.50
2015-09-22,11.50
2015-11-17,11.50
2016-01-20,11.50
2016-03-21,11.50
2016-05-23,10.50
2016-07-25,10.50
2016-09-20,10.00
2016-11-28,10.00
2017-01-30,10.00
2017-03-27,10.00
2017-05-29,10.00
2017-07-17,10.00
2017-09-18,10.00
2017-11-23,10.00
2018-01-22,10.00
2018-03-19,9.50
2018-05-28,9.50
2018-07-30,9.00
2018-09-25,9.00
2018-11-27,9.00
2019-01-28,9.00
2019-03-27,9.00
2019-05-27,9.00
2019-07-24,9.00
2019-09-23,9.00
2019-11-25,8.50
2020-01-27,8.25
2020-03-23,7.25
2020-04-29,7.00
2020-05-27,7.00
2020-06-25,7.00
2020-07-29,7.00
2020-09-29,7.00
2020-11-26,7.00
2021-01-27,7.00
2021-03-29,7.00
2021-05-26,7.00
2021-07-28,7.00
2021-09-28,7.00
2021-11-29,7.00
2022-01-26,7.00
2022-03-29,7.00
2022-05-30,7.50
2022-07-27,7.50
2022-09-29,8.25
2022-11-23,8.75
2023-01-30,8.75
2023-03-29,9.50
2023-05-29,9.50
2023-06-26,10.50
2023-08-09,10.50
2023-10-03,10.50
2023-12-05,12.50
2024-02-06,13.00
2024-04-03,13.00
2024-06-05,13.00
2024-08-06,12.75
2024-10-08,12.00
2024-12-05,11.25
2025-02-05,10.75
2025-04-08,10.00
2025-06-10,9.75
2025-08-12,9.50
2025-10-07,9.25
2025-12-09,9.00
2026-02-10,8.75
2026-04-08,8.75
2026-06-09,8.75
2026-08-11,8.75
