fiscal_year,period_start,period_end,geo_code,name,budget_total_ksh_mn,expenditure_total_ksh_mn,development_absorption_pct,overall_absorption_pct,source_page,rate_method,source_url
2013/14,2013-07-01,2014-06-30,KEN-C001,Mombasa,11686,5209.8,2.4,44.6,225,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C002,Kwale,4391.4,2929.3,56.9,66.7,225,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C003,Kilifi,6701.2,4013.2,20.7,59.9,224,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C004,Tana River,3206.1,1325,2.7,41.3,226,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C005,Lamu,1648.5,729,24,44.2,225,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C006,Taita Taveta,2920.4,2010.9,47.7,68.9,226,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C007,Garissa,4847,2169.3,31,44.8,224,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C008,Wajir,5365.5,4429,78.2,82.5,227,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C009,Mandera,6987.6,3464.1,23.7,49.6,225,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C010,Marsabit,3840,2508.1,34.6,65.3,225,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C011,Isiolo,2784.6,2068,51,74.3,224,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C012,Meru,5681.7,3822.7,19.7,67.3,225,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C013,Tharaka-Nithi,2580.2,2198.1,53.8,85.2,226,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C014,Embu,4023.4,2745.5,12.2,68.2,224,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C015,Kitui,6489,3441.9,17.6,53,225,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C016,Machakos,8015.7,6069.1,64.5,75.7,225,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C017,Makueni,5071.2,3139.9,30.7,61.9,225,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C018,Nyandarua,3386.9,2889.8,55.1,85.3,226,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C019,Nyeri,4550.4,4274.6,64.3,93.9,226,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C020,Kirinyaga,3026,1801.9,34,59.5,224,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C021,Murang'a,5121.9,3855.3,51.3,75.3,225,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C022,Kiambu,9323,6682.8,41.1,71.7,224,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C023,Turkana,8145.1,3409.3,48.3,41.9,226,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C024,West Pokot,3631.3,2898.2,59.7,79.8,227,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C025,Samburu,2906.5,2090.6,59.5,71.9,226,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C026,Trans Nzoia,4424.5,3021.6,74,68.3,226,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
2013/14,2013-07-01,2014-06-30,KEN-C027,Uasin Gishu,4618,2732.6,12.5,59.2,226,published_annex,https://cob.go.ke/download/annual-county-governments-budget-implementation-review-report-fy-20132014/?wpdmdl=7639
